date,open,close,high,low,volume,amount
2005-08-29,928.34,917.37,928.34,913.77,15462260.94,14184614318.5278
2005-08-30,916.09,914.88,920.21,912.84,12438170.39,11379433326.4032
2005-08-31,915.12,927.92,928.21,911.51,14623629.86,13569558619.691198
2005-09-01,928.52,944.56,944.95,926.06,22306383.64,21069717730.998398
2005-09-02,945.98,947.87,947.92,941.31,18614437.97,17644067318.623898
2005-09-05,949.08,952.72,952.99,944.63,17843318.03,16999685953.541601
2005-09-06,953.41,936.61,956.3,934.97,21222255.35,19876976583.363503
2005-09-07,934.99,952.76,952.9,932.65,19608465.69,18682161770.8044
2005-09-08,954.27,955.28,958.87,947.71,22424393.35,21421574479.388
2005-09-09,955.11,949.07,959.9,946.02,16219310.01,15393260551.1907
2005-09-12,949.78,949.51,952.55,945.4,11672613.44,11083263187.4144
2005-09-13,949.58,963.77,963.92,948.13,16579430.68,15978757906.4636
2005-09-14,964.97,970.19,970.26,961.64,19958290.5,19363333860.195
2005-09-15,970.58,969.6,970.96,965.66,16377679.23,15879797781.408
2005-09-16,969.62,967.5,970.37,964.29,13978570.95,13524267394.125
2005-09-19,967.44,971.14,971.99,964.26,14737421.01,14312099039.6514
2005-09-20,971.38,961.92,971.65,957.12,18636604.34,17926922446.7328
2005-09-21,961.37,944.41,961.37,943.82,18541895.48,17511151510.2668
2005-09-22,942.73,923.27,942.73,914.23,18115524.76,16725520545.165201
2005-09-23,921.51,916.15,927.42,914.81,11547643.77,10579373839.8855
2005-09-26,915.84,918.49,919.65,913.61,8836240.97,8115998968.5353
2005-09-27,918.87,904.21,921.13,903.39,11086056.26,10024122930.8546
2005-09-28,903.33,903.72,910.33,901.38,8850309.8,7998201972.456001
2005-09-29,904.28,915.98,915.98,904.28,11938977.51,10935864619.6098
2005-09-30,916.59,917.39,918.66,913.45,9001432.63,8257824280.4357
2005-10-10,917.21,907.32,917.21,906.88,7158450.87,6495005643.368401
2005-10-11,906.63,919.72,919.8,904.05,7758294.92,7135459003.8224
2005-10-12,920.45,923.49,926.09,917.38,12208851.75,11274752502.6075
2005-10-13,923.43,916.5,926.01,916.28,10828903.79,9924690323.535
2005-10-14,916.34,904.83,917.89,902.81,10123940.49,9160445073.5667
2005-10-17,903.27,897.62,903.27,892.36,10552505.59,9472140067.6958
2005-10-18,897.37,902.37,903.0,895.62,11366316.72,10256623218.6264
2005-10-19,902.04,898.74,907.88,897.05,11033047.52,9915841128.1248
2005-10-20,898.89,899.92,900.13,889.57,12608724.63,11346843469.0296
2005-10-21,899.65,904.41,907.79,897.99,11364588.25,10278247259.182499
2005-10-24,905.13,906.65,908.45,900.23,9218982.23,8358390238.8295
2005-10-25,905.97,894.27,905.97,893.61,11213401.2,10027808291.123999
2005-10-26,892.62,875.82,892.62,873.9,12167122.96,10656209630.827202
2005-10-27,873.47,875.85,879.67,869.72,11908588.1,10430136887.385
2005-10-28,875.86,867.73,880.21,859.69,11973375.73,10389657322.1929
2005-10-31,866.62,876.28,878.41,866.15,10443651.3,9151562761.164
2005-11-01,875.96,872.87,875.96,862.69,10082745.41,8800925986.026701
2005-11-02,873.39,882.48,884.94,873.39,13104972.57,11564876193.5736
2005-11-03,882.19,874.58,885.68,872.11,12179182.41,10651669352.1378
2005-11-04,873.35,878.36,878.36,869.68,9567310.49,8403542841.9964
2005-11-07,877.62,877.28,877.62,870.08,7713259.16,6766687995.8848
2005-11-08,876.43,881.52,881.9,870.96,10128761.11,8928705493.687199
2005-11-09,881.51,879.25,884.94,878.68,11774405.11,10352645692.967499
2005-11-10,878.63,862.97,878.63,862.09,10853770.97,9366478733.980902
2005-11-11,861.22,864.79,867.33,857.79,9219719.7,7973121399.362999
2005-11-14,864.08,862.15,864.25,858.34,6271673.74,5407123514.941
2005-11-15,862.07,856.64,867.46,853.86,8252477.9,7069402668.2560005
2005-11-16,855.45,863.12,863.17,847.49,9066137.77,7825164832.042399
2005-11-17,863.08,862.66,865.79,859.0,8811636.79,7601446593.261399
2005-11-18,862.58,882.24,886.58,862.4,17597802.98,15525485701.075201
2005-11-21,882.79,883.87,886.11,880.3,10259963.06,9068473549.842201
2005-11-22,883.93,869.62,883.93,869.53,10597235.9,9215568283.358
2005-11-23,868.01,876.23,876.82,866.19,9916919.66,8689502513.6818
2005-11-24,875.83,881.49,885.75,874.88,14629007.65,12895323953.3985
2005-11-25,881.25,884.11,884.16,877.26,13003545.88,11496564947.9668
2005-11-28,883.24,880.17,886.74,877.64,9739734.92,8572622484.5364
2005-11-29,879.25,871.31,879.25,870.56,8414993.73,7332068186.8863
2005-11-30,870.45,873.83,873.93,866.98,8040737.45,7026237605.9335
2005-12-01,873.47,873.07,877.31,870.7,7069234.15,6171936259.340501
2005-12-02,872.93,869.94,875.83,866.37,8492020.59,7387548392.0646
2005-12-05,869.43,859.61,869.43,858.86,10286896.89,8842719435.6129
2005-12-06,858.11,866.08,867.19,855.72,10303513.65,8923667101.992
2005-12-07,865.72,873.84,874.0,865.02,9842954.99,8601167788.461601
2005-12-08,874.13,874.06,877.97,870.12,10259173.66,8967133329.2596
2005-12-09,873.69,887.36,887.57,871.26,12719525.75,11286798369.52
2005-12-12,887.06,888.52,890.69,884.26,10699279.87,9506524150.0924
2005-12-13,888.0,889.1,889.22,880.74,10547237.34,9377548718.994
2005-12-14,888.6,898.15,899.01,884.37,13868375.99,12455881895.418499
2005-12-15,898.38,896.43,904.01,895.17,16259781.56,14575755983.8308
2005-12-16,895.83,902.56,902.75,894.1,11452106.71,10336213432.1776
2005-12-19,902.05,902.91,904.47,898.79,9936326.45,8971608514.9695
2005-12-20,902.75,907.32,907.32,899.66,10294658.43,9340549486.7076
2005-12-21,907.05,903.14,910.93,902.11,10273975.32,9278838070.5048
2005-12-22,902.37,908.75,909.06,900.66,8947025.43,8130609359.5125
2005-12-23,908.96,915.89,915.89,908.51,11906998.09,10905500480.650099
2005-12-26,916.67,922.38,925.01,916.41,15342649.31,14151752870.5578
2005-12-27,922.44,919.36,922.44,916.01,12050358.24,11078617351.5264
2005-12-28,919.05,920.92,920.98,915.12,12131031.5,11171709528.98
2005-12-29,921.14,932.03,932.03,921.14,17254958.71,16082139166.4813
2005-12-30,933.45,923.45,934.0,921.83,15600250.63,14406051444.273502
2006-01-04,926.56,941.43,941.43,926.41,21126899.0,19889496525.57
2006-01-05,943.85,959.13,959.63,942.31,27311743.0,26195512063.59
2006-01-06,961.92,970.03,975.63,956.04,30286368.0,29378685551.04
2006-01-09,971.09,975.25,976.27,966.05,24329552.0,23727395588.0
2006-01-10,975.28,978.15,978.28,964.43,22735302.0,22238535651.3
2006-01-11,977.64,973.48,983.39,963.39,26524138.0,25820717860.24
2006-01-12,972.39,983.72,984.08,968.54,21896680.0,21540202049.600002
2006-01-13,985.04,978.81,988.11,973.69,22281861.0,21809708365.41
2006-01-16,977.89,961.44,977.89,960.88,20305215.0,19522245909.600002
2006-01-17,959.4,964.29,965.98,952.23,16037276.0,15464584874.039999
2006-01-18,964.16,983.62,984.67,963.08,20823518.0,20482428775.16
2006-01-19,985.23,991.22,992.27,978.28,26455609.0,26223328752.98
2006-01-20,991.57,993.34,994.5,987.06,26147062.0,25972922567.08
